problem,scenario,delta,n,m,best_score,best_len,astart,bstart,asub,bsub,time_ms,mem_bytes
P1,S1,10,500,500,3,3,5,2,ARN,ARN,3.541,1006108
P1,S2,1,500,500,24,17,90,130,NHEHPBPZOQGQUUVRT,NHENWGVSRDGKVKART,1.231,1006108
P1,S2,2,500,500,21,3,90,130,NHE,NHE,7.598,1006108
P1,S2,3,500,500,21,3,90,130,NHE,NHE,7.426,1006108
P1,S2,4,500,500,21,3,90,130,NHE,NHE,7.530,1006108
P1,S2,5,500,500,21,3,90,130,NHE,NHE,3.747,1006108
P1,S2,6,500,500,21,3,90,130,NHE,NHE,0.478,1006108
P1,S2,7,500,500,21,3,90,130,NHE,NHE,0.431,1006108
P1,S2,8,500,500,21,3,90,130,NHE,NHE,0.428,1006108
P1,S2,9,500,500,21,3,90,130,NHE,NHE,0.429,1006108
P1,S2,10,500,500,21,3,90,130,NHE,NHE,0.423,1006108

problem,scenario,delta,n,m,best_score,best_len,astart,bstart,asub,bsub,time_ms,mem_bytes
P1,S1,10,800,1200,4,4,365,785,SWFG,SWFG,1.578,3852108
P1,S2,1,800,1200,22,12,223,827,TXTZUNERDJEN,TATIARJNANEN,2.555,3852108
P1,S2,2,800,1200,20,2,582,183,EE,EE,1.999,3852108
P1,S2,3,800,1200,20,2,582,183,EE,EE,1.806,3852108
P1,S2,4,800,1200,20,2,582,183,EE,EE,2.057,3852108
P1,S2,5,800,1200,20,2,582,183,EE,EE,1.779,3852108
P1,S2,6,800,1200,20,2,582,183,EE,EE,2.230,3852108
P1,S2,7,800,1200,20,2,582,183,EE,EE,1.604,3852108
P1,S2,8,800,1200,20,2,582,183,EE,EE,1.618,3852108
P1,S2,9,800,1200,20,2,582,183,EE,EE,1.625,3852108
P1,S2,10,800,1200,20,2,582,183,EE,EE,1.614,3852108

problem,scenario,delta,n,m,best_score,best_len,astart,bstart,asub,bsub,time_ms,mem_bytes
P1,S1,10,1000,1500,4,4,365,585,SWFG,SWFG,2.412,6015108
P1,S2,1,1000,1500,24,20,854,1359,MFVVWSPTNCGQIEMXRMHT,MFUPNFRTNVPWIOXYXTHT,4.839,6015108
P1,S2,2,1000,1500,21,3,783,1024,NES,NES,2.189,6015108
P1,S2,3,1000,1500,21,3,783,1024,NES,NES,1.864,6015108
P1,S2,4,1000,1500,21,3,783,1024,NES,NES,1.593,6015108
P1,S2,5,1000,1500,21,3,783,1024,NES,NES,1.724,6015108
P1,S2,6,1000,1500,21,3,783,1024,NES,NES,1.328,6015108
P1,S2,7,1000,1500,21,3,783,1024,NES,NES,1.317,6015108
P1,S2,8,1000,1500,21,3,783,1024,NES,NES,1.220,6015108
P1,S2,9,1000,1500,21,3,783,1024,NES,NES,1.578,6015108
P1,S2,10,1000,1500,21,3,783,1024,NES,NES,1.480,6015108

problem,scenario,delta,n,m,best_score,best_len,astart,bstart,asub,bsub,time_ms,mem_bytes
P1,S1,10,1500,2000,4,4,365,85,SWFG,SWFG,2.233,12021108
P1,S2,1,1500,2000,31,11,1162,901,TCATSLLZVCA,TVATSQRUUCA,5.916,12021108
P1,S2,2,1500,2000,26,11,1162,901,TCATSLLZVCA,TVATSQRUUCA,4.222,12021108
P1,S2,3,1500,2000,23,5,1162,901,TCATS,TVATS,3.660,12021108
P1,S2,4,1500,2000,22,3,1086,1198,HET,HET,3.198,12021108
P1,S2,5,1500,2000,22,3,1086,1198,HET,HET,2.910,12021108
P1,S2,6,1500,2000,22,3,1086,1198,HET,HET,2.734,12021108
P1,S2,7,1500,2000,22,3,1086,1198,HET,HET,2.522,12021108
P1,S2,8,1500,2000,22,3,1086,1198,HET,HET,2.340,12021108
P1,S2,9,1500,2000,22,3,1086,1198,HET,HET,2.626,12021108
P1,S2,10,1500,2000,22,3,1086,1198,HET,HET,2.582,12021108

problem,scenario,delta,n,m,best_score,best_len,astart,bstart,asub,bsub,time_ms,mem_bytes
P1,S1,10,2000,2500,4,4,402,1085,BJPS,BJPS,3.817,20027108
P1,S2,1,2000,2500,31,11,1162,401,TCATSLLZVCA,TVATSQRUUCA,10.115,20027108
P1,S2,2,2000,2500,26,11,1162,401,TCATSLLZVCA,TVATSQRUUCA,7.334,20027108
P1,S2,3,2000,2500,23,5,1162,401,TCATS,TVATS,6.210,20027108
P1,S2,4,2000,2500,23,3,1187,1696,EWE,EWE,5.401,20027108
P1,S2,5,2000,2500,23,3,1187,1696,EWE,EWE,4.970,20027108
P1,S2,6,2000,2500,23,3,1187,1696,EWE,EWE,4.581,20027108
P1,S2,7,2000,2500,23,3,1187,1696,EWE,EWE,4.188,20027108
P1,S2,8,2000,2500,23,3,1187,1696,EWE,EWE,3.939,20027108
P1,S2,9,2000,2500,23,3,1187,1696,EWE,EWE,3.953,20027108
P1,S2,10,2000,2500,23,3,1187,1696,EWE,EWE,3.781,20027108
